Name,Country,LAT,LON
Negishi LNG Terminal Japan,Japan,35.40423,139.6285
Chugoku Yanai LNG Terminal Japan,Japan,33.950745,132.12518
Aqaba FSRU LNG Terminal Jordan,Jordan,29.3754,34.9623
Mina Al Ahmadi FSRU LNG Terminal Kuwait,Kuwait,29.07,48.162
Marsa al-Brega LNG Plant Libya,Libya,30.40675,19.5935
Klaipeda FSRU LNG Terminal Lithuania,Lithuania,55.66436,21.13767
Melaka (Lekas) LNG Terminal Malaysia,Malaysia,2.254411,102.13289
Malaysia LNG Satu Plant Malaysia,Malaysia,3.2851,113.08114
Malaysia LNG Dua Plant Malaysia,Malaysia,3.28238,113.083
Malaysia LNG Tiga Plant Malaysia,Malaysia,3.29033,113.08767
Costa Azul LNG Terminal Mexico,Mexico,31.9886,-116.84836
Manzanillo LNG Terminal Mexico,Mexico,19.01102,-104.26258
Altamira LNG Terminal Mexico,Mexico,22.4944,-97.8947
Gate LNG Terminal Netherland,Netherlands,51.9718,4.0755
Nigeria LNG Plant Nigeria,Nigeria,4.41836,7.16157
Snohvit Melkoa LNG project Norway,Norway,70.6854,23.59
Skangass Risavika LNG Plant Norway,Norway,58.9237,5.5761
Oman Qalhat LNG Plant Oman,Oman,22.6586,59.40748
Port Qasim 1 FSRU LNG Terminal Pakistan,Pakistan,24.7749916,67.288333
PNG LNG Terminal Papua New Guinea,Papua New Guinea,-9.33862,147.01825
Peru LNG Port Peru,Peru,-13.2451,-76.297
Pagbilao LNG Terminal Philippines,Philippines,13.893,121.7557
Swinoujscie LNG Terminal Poland,Poland,53.90917,14.29472
Sines LNG Terminal Portugal,Portugal,37.9419,-8.8435
Penuelas LNG Terminal Puerto Rico,Puerto Rico,17.97733,-66.75794
Aguirre FSRU LNG Terminal Puerto Rico,Puerto Rico,17.9012,-66.229147
Qatargas 1 LNG Plant Qatar,Qatar,25.9146,51.5564
Qatargas 2 LNG Plant Qatar,Qatar,25.9107,51.5591
Qatargas 3 LNG Plant Qatar,Qatar,25.9013,51.5558
Qatargas 4 LNG Plant Qatar,Qatar,25.9005,51.55767
Rasgas 1 LNG Plant Qatar,Qatar,25.89027,51.5491
Rasgas 2 LNG Plant Qatar,Qatar,25.891,51.5457
Rasgas 3 LNG Plant Qatar,Qatar,25.8939,51.5418
Yung-An (Kaohsiung) LNG terminal Taiwan,Taiwan,22.80928,120.2054
Taichung LNG Terminal Taiwan,Taiwan,24.25304,120.49586
Boryeong LNG Terminal South Korea,South Korea,36.415,126.4947
Samcheok LNG Receiving Terminal South Korea,South Korea,37.1683,129.3502
Pyeongtaek LNG Terminal South Korea,South Korea,37.0057,126.7841
Tongyeong LNG Terminal South Korea,South Korea,34.9474,128.4255
Incheon LNG Terminal South Korea,South Korea,37.35124,126.602
Gwangyang LNG Terminal South Korea,South Korea,34.889,127.7815
Sakhalin LNG Export Terminal Russia,Russia,46.6288,142.9112
Yamal LNG Plant Russia,Russia,71.2696,72.0746
singapore LNG terminal Singapore,Singapore,1.23616,103.67135
Huelva LNG Terminal Spain,Spain,37.17355,-6.911
El Musel (Gijon) LNG Terminal Spain,Spain,43.5696,-5.6934
Bilbao (BBG) LNG Terminal Spain,Spain,43.3612,-3.09473
Barcelona LNG Terminal Spain,Spain,41.3394,2.1583
Renagosa Ferrol LNG Terminal Spain,Spain,43.4613,-8.2395
Cartegana LNG Terminal Spain,Spain,37.57457,-0.9595
Sagunto LNG Terminal Spain,Spain,39.6329,-0.2152
Map Ta Phut LNG terminal Thailand,Thailand,12.6512,101.1595
Atlantic LNG Plant Trinidad and Tobago,Trinidad and Tobago,10.18106,-61.69189
Aliaga LNG Terminal Turkey,Turkiye,38.8213,26.9195
Marmara Ereglisi LNG Terminal Turkey,Turkiye,40.9934,27.98199
Adgas LNG Plant UAE,United Arab Emirates,25.1609,52.8766
Ruwais FSRU LNG Terminal UAE,United Arab Emirates,24.1483,52.7389
Jebel Ali FSRU LNG Terminal UAE,United Arab Emirates,25.031,55.0668
Grain LNG Terminal UK,United Kingdom,51.45107,0.67987
Teesside GasPort (TGP) FSRU UK,United Kingdom,54.57423,-1.23496
South Hook LNG Terminal UK,United Kingdom,51.7152,-5.07627
Dragon LNG Terminal UK,United Kingdom,51.70453,-4.99774
Yemen LNG Plant Yemen,Yemen,13.9817,48.1811
